dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
ett1/15T/short,TurkForecast-FM-Chronos2-LoRA-v1,1.3306454022725422,1.3306454932582692,0.9806562662124634,0.15421073829264542,0.07204935948053996,0.0705514947573344,1.2806436084867998,1.1535360429013661,0.07875253821211252,0.0669499437685042,0.05154629569143616,Energy,7
ett1/D/short,TurkForecast-FM-Chronos2-LoRA-v1,101586.18333333333,101586.18377739613,229.63846435546876,1.0104384777211877,0.6325628916422527,0.30530134836832684,9.502404524203746,318.72587490402054,0.3697031215187246,0.2663670014686541,0.21383860221449835,Energy,7
ett1/H/long,TurkForecast-FM-Chronos2-LoRA-v1,149.0723544973545,149.0723544973545,7.340656001984127,1.380466540478325,3420950115626.8896,0.46889803447420636,10.575395748311882,12.209519011711906,0.5846874214886253,0.3515281171779196,0.2751785632214682,Energy,7
ett1/H/medium,TurkForecast-FM-Chronos2-LoRA-v1,140.37652529761905,140.37652529761905,6.97626720610119,1.273777521133431,3687778958273.7476,0.4353119623093378,9.667693706636634,11.848059980335137,0.5674939873309317,0.33414666198916376,0.26059463857135295,Energy,7
ett1/H/short,TurkForecast-FM-Chronos2-LoRA-v1,46.82054646809896,46.82054610332542,5.481607939427097,0.5203337299979017,0.46396485964457196,0.27803532282511395,5.72945504791593,6.842554089526729,0.17321679387210695,0.1387649353196062,0.12435096037766329,Energy,7
ett1/W/short,TurkForecast-FM-Chronos2-LoRA-v1,3257778.5,3257778.3278597593,1659.533203125,1.9389318805161724,0.30396950244903564,0.36307257413864136,7.81223266516236,1804.9317161599217,0.3414852668209104,0.3139764976112199,0.25964838913004357,Energy,7
ett2/15T/long,TurkForecast-FM-Chronos2-LoRA-v1,11.688671875,11.688671875,2.136253410218254,0.8903270215343758,0.1369816222269947,0.16666164822048612,7.1919007730020015,3.4188699704727,0.1821977572892066,0.11384480360607892,0.09289448313644817,Energy,7
ett2/15T/medium,TurkForecast-FM-Chronos2-LoRA-v1,11.215238095238096,11.215238095238096,2.059312220982143,0.8487085901964821,0.1280561590255245,0.1561493694971478,6.484077334641768,3.348915958222615,0.17846978159682161,0.1097444686290088,0.08738895504218223,Energy,7
ett2/15T/short,TurkForecast-FM-Chronos2-LoRA-v1,3.613638242085775,3.613638165747337,1.559729019800822,0.338607453936347,0.040238626301288605,0.04116901755332947,3.000119502859451,1.900957191018718,0.048909836594654164,0.04013035536192807,0.03491420690368861,Energy,7
ett2/D/short,TurkForecast-FM-Chronos2-LoRA-v1,1453196.1333333333,1453196.3842504784,1015.4501831054688,1.9556510338798445,0.41218064626057943,0.3139926910400391,10.726402142785142,1205.4858494952703,0.38872174266984294,0.32744268136101906,0.2467312340221731,Energy,7
ett2/H/long,TurkForecast-FM-Chronos2-LoRA-v1,241.76742724867725,241.76742724867725,9.487003968253969,1.0480351820112475,0.1770615728432216,0.17451640134135252,8.920745325257933,15.548872217903048,0.21292983772830115,0.129917217607728,0.10505843968023981,Energy,7
ett2/H/medium,TurkForecast-FM-Chronos2-LoRA-v1,272.4251302083333,272.4251302083333,10.183489118303571,1.0901769049896204,0.17723347685298205,0.17325506664457777,7.853810714208072,16.505306122830117,0.222419600232226,0.13722905602637375,0.10911511025055304,Energy,7
ett2/H/short,TurkForecast-FM-Chronos2-LoRA-v1,396.9031168619792,396.90310122145576,16.641751130421955,1.0860030503952955,0.12323339780171712,0.13402499755223593,11.681531905437081,19.922427484169173,0.15635482934961312,0.13060748920779222,0.11914640270252806,Energy,7
ett2/W/short,TurkForecast-FM-Chronos2-LoRA-v1,6730791.5,6730791.563088894,2180.902099609375,0.930140857732958,0.08886271715164185,0.09150855243206024,7.36636469394322,2594.3769001438477,0.1096472154994495,0.092172360340478,0.07182691419267503,Energy,7
hierarchical_sales/D/short,TurkForecast-FM-Chronos2-LoRA-v1,15.962049570719405,15.96204936576941,2.0124655214796463,0.6085223460366644,0.6490006909072094,0.8574259389241538,6.215149481322569,3.9952533800397947,1.2574234305622518,0.6333819254075985,0.5227454262865514,Sales,1
hierarchical_sales/W/short,TurkForecast-FM-Chronos2-LoRA-v1,2273.937395029068,2273.9373672110833,14.748539578318596,0.8621687897941697,0.3723561361077286,0.3818073506653309,15.098166516357756,47.68581964304554,1.5229004277220133,0.4710112363468863,0.4190792956647283,Sales,1
hospital/M/short,TurkForecast-FM-Chronos2-LoRA-v1,470.5620562744141,470.5620569230814,10.562214560508728,0.8597670915810088,0.19844381084044777,0.18869929820299147,6.730573888348339,21.69244237688357,0.17702335871457134,0.0861940138501225,0.07408859311123023,Healthcare,1
jena_weather/10T/long,TurkForecast-FM-Chronos2-LoRA-v1,1327.8632275132275,1327.8632275132275,9.587346023478837,0.6918561732061718,0.8754758130744825,0.6431797572544643,6.041743119123887,36.439857676906854,0.2229817375208641,0.058666614273958986,0.051384381593606226,Nature,21
jena_weather/10T/medium,TurkForecast-FM-Chronos2-LoRA-v1,1531.8712842712844,1531.8712842712844,9.632253336940837,0.6057200244714774,0.7589422149086217,0.6483931812545094,5.420471604944751,39.139127280399144,0.24019612843487564,0.05911296751871536,0.04960599787793978,Nature,21
jena_weather/10T/short,TurkForecast-FM-Chronos2-LoRA-v1,1.3645008405049641,1.3645009097332756,1.0,0.8509935845199619,0.0010151021803418796,0.0010156806092709303,12.622284821156684,1.1681185044784472,0.0011862443529446947,0.001015517131521121,0.0008763931003529948,Nature,21
jena_weather/D/short,TurkForecast-FM-Chronos2-LoRA-v1,89.5066650390625,89.5066698388507,7.867331949869792,0.8993278589429283,0.007972535987695059,0.007961899042129517,8.494469734964305,9.46079621591452,0.009560837684293099,0.0079505236202667,0.005785124574119025,Nature,21
jena_weather/H/long,TurkForecast-FM-Chronos2-LoRA-v1,1441.8238095238096,1441.8238095238096,12.078509424603174,1.0084402648660813,2.5280535480459307,0.6797292235036375,8.152702147613358,37.971355118349535,0.22862965001289043,0.07272601606704138,0.058572540522816546,Nature,21
jena_weather/H/medium,TurkForecast-FM-Chronos2-LoRA-v1,1267.605257936508,1267.605257936508,10.338327752976191,0.7856590893334519,2.5514887758105416,0.6837812635633681,5.938333913704131,35.60344446730552,0.2178637745444152,0.06326205625438838,0.05033272427534201,Nature,21
jena_weather/H/short,TurkForecast-FM-Chronos2-LoRA-v1,10.323766708374023,10.323766503250226,2.909234364827474,0.6440790394692644,0.0028915448735157647,0.0028965684274832406,5.333898880951799,3.213061889907199,0.0031956993184635743,0.002893513600261988,0.0021862307638049923,Nature,21
kdd_cup_2018/D/short,TurkForecast-FM-Chronos2-LoRA-v1,888.1717393010457,888.1717487821784,18.151811396737894,0.7474060642847339,0.9717535470326741,0.5521157620747883,30.506405841780765,29.80221030898624,0.8732675999443503,0.5318863562221008,0.43228357980770915,Nature,1
kdd_cup_2018/H/long,TurkForecast-FM-Chronos2-LoRA-v1,4165.433668656734,4165.433668656734,24.78768872926688,1.046908916534262,1.0979405344428492,0.6230810785178198,7.358994805141847,64.54017096860477,1.5143732109381864,0.5816193420208982,0.44533304415352265,Nature,1
kdd_cup_2018/H/medium,TurkForecast-FM-Chronos2-LoRA-v1,4983.18968989833,4983.18968989833,25.004080862510037,1.0401058282304305,1.1041164935683345,0.5461257448671087,8.564919389661053,70.59171119825847,1.4776123629245475,0.5233806969524404,0.41721991436439515,Nature,1
kdd_cup_2018/H/short,TurkForecast-FM-Chronos2-LoRA-v1,2687.5703781799475,2687.5704001165204,23.857132121495283,0.9580271501646781,0.8566789857546488,0.5749385766188304,43.258283647826005,51.84178216631781,1.0307493560503147,0.47434179435864054,0.39179971543858794,Nature,1
loop_seattle/5T/long,TurkForecast-FM-Chronos2-LoRA-v1,98.44317165462677,98.44317165462677,5.780385778580438,0.9113433908564642,0.1925361980958319,0.13005866653587606,6.227033630065236,9.921853236902205,0.17542039436024412,0.10219840271992542,0.0795193568123974,Transport,1
loop_seattle/5T/medium,TurkForecast-FM-Chronos2-LoRA-v1,84.09893567788957,84.09893567788957,5.332555741663442,0.845525262307259,0.17424029087503629,0.12172835374641222,5.885399477836339,9.170547185304134,0.1631628740887507,0.0948771216664779,0.07417131365244178,Transport,1
loop_seattle/5T/short,TurkForecast-FM-Chronos2-LoRA-v1,36.085862445831296,36.08586220706857,3.4292523829142256,0.46375184826370613,0.08272513583302497,0.06936937535802523,3.9686996256959675,6.007150942487736,0.11060878900051734,0.06314232117051466,0.050088659859280994,Transport,1
loop_seattle/D/short,TurkForecast-FM-Chronos2-LoRA-v1,10.440760639190676,10.440760801278103,2.087435712178548,0.9562158922375633,0.03940250102678935,0.039458522737026214,11.320812040800515,3.231216588096607,0.05852722210536897,0.037809848967085544,0.03091959651208666,Transport,1
loop_seattle/H/long,TurkForecast-FM-Chronos2-LoRA-v1,60.37068283453733,60.37068283453733,4.181222318971448,0.8735345852417211,0.12331930973458462,0.09723127566541967,6.758270331885551,7.769857323949863,0.1388577527389141,0.07472404070079071,0.05933858722158785,Transport,1
loop_seattle/H/medium,TurkForecast-FM-Chronos2-LoRA-v1,68.24554308565531,68.24554308565531,4.435131659571724,0.9076093962599161,0.1153957118928986,0.10154155026525413,7.288989500176872,8.261086071798024,0.14601375510291262,0.07839044677196205,0.06281535872065858,Transport,1
loop_seattle/H/short,TurkForecast-FM-Chronos2-LoRA-v1,46.38423306147258,46.38423379632779,3.3737089914083476,0.6031596229164817,0.13589927713076272,0.09039992625514666,4.450748396896226,6.810597114899147,0.1248999928490897,0.061870672498643635,0.04989461575426929,Transport,1
